Frame,Timestamp,Value
0,0.016877899999999998,-0.9333333
1,0.033544999999999998,-0.9
2,0.050211800000000001,-0.8666667
2,0.050211800000000001,-0.8333333
2,0.050211800000000001,-0.8
2,0.050211800000000001,-0.7666667
3,0.13927609999999999,-0.7333333
3,0.13927609999999999,-0.7
4,0.1559431,-0.6666667
5,0.17261009999999999,-0.6333333
6,0.189277,-0.6
7,0.20594369999999998,-0.5666667
8,0.22261039999999999,-0.5333334
9,0.2392772,-0.5
10,0.2559439,-0.4666667
11,0.27261089999999999,-0.4333333
12,0.28927779999999997,-0.4
13,0.30594460000000001,-0.3666667
14,0.3226115,-0.3333333
15,0.33927859999999999,-0.3
16,0.35594569999999998,-0.2666667
17,0.37261269999999996,-0.2333333
18,0.38927970000000001,-0.2
19,0.4059468,-0.1666667
20,0.42261379999999998,-0.1333333
21,0.43928079999999997,-0.1
22,0.45594769999999996,-0.06666667
23,0.47261439999999999,-0.03333334
24,0.48928129999999997,-1.110223E-16
25,0.50594830000000002,0.03333334
26,0.52261499999999994,0.06666667
27,0.53928209999999999,0.1
28,0.55594880000000002,0.1333333
29,0.5726156,0.1666667
30,0.58928269999999994,0.2
31,0.60594949999999992,0.2333333
32,0.62261619999999995,0.2666667
33,0.63928299999999993,0.3
34,0.65595009999999998,0.3333333
35,0.67261680000000001,0.3666667
36,0.68928349999999994,0.4
37,0.70595019999999997,0.4333333
38,0.72261699999999995,0.4666667
39,0.73928369999999999,0.5
40,0.75595059999999992,0.5333334
41,0.77261769999999996,0.5666667
42,0.78928449999999994,0.6
43,0.80595159999999999,0.6333333
44,0.82261829999999991,0.6666667
45,0.83928519999999995,0.7
46,0.85595189999999999,0.7333333
47,0.87261879999999992,0.7666667
48,0.88928580000000002,0.8
49,0.90595269999999994,0.8333333
50,0.92261969999999993,0.8666667
51,0.93928639999999997,0.9
52,0.95595339999999995,0.9333333
53,0.97262009999999999,0.9666666
54,0.98928709999999997,1
