Frame,Timestamp,Value
113,1.9726614999999998,Bonsai.Shaders.FrameEvent
114,1.9893284,Bonsai.Shaders.FrameEvent
115,2.0059950999999998,Bonsai.Shaders.FrameEvent
116,2.0226619000000001,Bonsai.Shaders.FrameEvent
117,2.0393287,Bonsai.Shaders.FrameEvent
118,2.0559955999999997,Bonsai.Shaders.FrameEvent
119,2.0726624999999999,Bonsai.Shaders.FrameEvent
120,2.0893294,Bonsai.Shaders.FrameEvent
121,2.1059961,Bonsai.Shaders.FrameEvent
122,2.1226628000000001,Bonsai.Shaders.FrameEvent
123,2.1393295999999999,Bonsai.Shaders.FrameEvent
124,2.1559966999999998,Bonsai.Shaders.FrameEvent
125,2.1726635999999999,Bonsai.Shaders.FrameEvent
126,2.1893303999999998,Bonsai.Shaders.FrameEvent
127,2.2059970999999998,Bonsai.Shaders.FrameEvent
128,2.222664,Bonsai.Shaders.FrameEvent
129,2.2393308999999997,Bonsai.Shaders.FrameEvent
130,2.2559977,Bonsai.Shaders.FrameEvent
131,2.2726644999999999,Bonsai.Shaders.FrameEvent
132,2.2893314999999999,Bonsai.Shaders.FrameEvent
133,2.3059984,Bonsai.Shaders.FrameEvent
134,2.3226654999999998,Bonsai.Shaders.FrameEvent
135,2.3393327999999998,Bonsai.Shaders.FrameEvent
136,2.3559994999999998,Bonsai.Shaders.FrameEvent
137,2.3726664999999998,Bonsai.Shaders.FrameEvent
138,2.3893336000000001,Bonsai.Shaders.FrameEvent
139,2.4060003999999999,Bonsai.Shaders.FrameEvent
140,2.4226674999999998,Bonsai.Shaders.FrameEvent
141,2.4393343000000001,Bonsai.Shaders.FrameEvent
142,2.4560011999999998,Bonsai.Shaders.FrameEvent
143,2.4726680000000001,Bonsai.Shaders.FrameEvent
144,2.4893348999999998,Bonsai.Shaders.FrameEvent
145,2.5060016999999997,Bonsai.Shaders.FrameEvent
146,2.5226687000000001,Bonsai.Shaders.FrameEvent
147,2.5393357000000001,Bonsai.Shaders.FrameEvent
148,2.5560023999999997,Bonsai.Shaders.FrameEvent
149,2.5726692,Bonsai.Shaders.FrameEvent
150,2.5893359,Bonsai.Shaders.FrameEvent
151,2.6097476999999998,Bonsai.Shaders.FrameEvent
152,2.6416987999999999,Bonsai.Shaders.FrameEvent
153,2.6583654999999999,Bonsai.Shaders.FrameEvent
154,2.6750327,Bonsai.Shaders.FrameEvent
155,2.6916994000000001,Bonsai.Shaders.FrameEvent
156,2.7083667,Bonsai.Shaders.FrameEvent
157,2.7250340999999998,Bonsai.Shaders.FrameEvent
158,2.7417015,Bonsai.Shaders.FrameEvent
159,2.7583690999999999,Bonsai.Shaders.FrameEvent
160,2.7750368000000001,Bonsai.Shaders.FrameEvent
161,2.7917036999999998,Bonsai.Shaders.FrameEvent
162,2.8083712999999997,Bonsai.Shaders.FrameEvent
163,2.8250386999999999,Bonsai.Shaders.FrameEvent
164,2.8417056999999999,Bonsai.Shaders.FrameEvent
165,2.8583734000000001,Bonsai.Shaders.FrameEvent
166,2.8750408999999997,Bonsai.Shaders.FrameEvent
167,2.8917077999999998,Bonsai.Shaders.FrameEvent
168,2.9083755999999998,Bonsai.Shaders.FrameEvent
169,2.9250426999999997,Bonsai.Shaders.FrameEvent
170,2.9417103999999998,Bonsai.Shaders.FrameEvent
171,2.9583770999999999,Bonsai.Shaders.FrameEvent
172,2.9750441999999997,Bonsai.Shaders.FrameEvent
173,2.9917113,Bonsai.Shaders.FrameEvent
174,3.008378,Bonsai.Shaders.FrameEvent
175,3.0250447999999999,Bonsai.Shaders.FrameEvent
176,3.0417120999999998,Bonsai.Shaders.FrameEvent
177,3.058379,Bonsai.Shaders.FrameEvent
178,3.0750463999999997,Bonsai.Shaders.FrameEvent
179,3.0917136999999997,Bonsai.Shaders.FrameEvent
